Name,Institution,Link,Arxiv_Cat,Regular,Timezone,Day,Time_start,Time_end,Day_2,Time_start_2,Time_end_2,Time_comments
MIT (Applied) Categories Seminar,MIT,http://brendanfong.com/seminar.html,math.CT,YES,UTC -04:00,Thursday,12:00:00,13:00:00,,,,
One World Probability Seminar,One World Seminar,https://www.wim.uni-mannheim.de/doering/one-world/,math.PR,YES,UTC +02:00,Thursday,15:00:00,17:00:00,,,,
Electronic Computational Homotopy Theory Seminar,Wayne University,https://s.wayne.edu/isaksen/echt/,math.LO,YES,UTC -04:00,Thursday,11:30:00,12:30:00,,,,
"Seminario ""flotante"" de Lógica Matemática de Bogotá",Bogotá Logic Group,https://sites.google.com/view/bogotalogica/courses-and-seminars/2020-i/seminario-flotante-logmat,math.LO,YES,UTC -05:00,Wednesday,16:00:00,17:00:00,,,,
One World PDE Seminar,One World Seminar,https://people.bath.ac.uk/mw2319/owpde/,math.AP,YES,UTC +01:00,Tuesday,15:00:00,17:00:00,,,,
Séminaire de Groupes et Géométrie,University of Geneva,https://www.unige.ch/math/fr/annonces/groupes-geometrie/,math.GR,NO,UTC +02:00,,,,,,,
Online Asymptotic Geometric Analysis Seminar,Georgia Tech,http://people.math.gatech.edu/~glivshyts6/AGAonline.html,math.AP,YES,UTC -04:00,Tuesday,10:30:00,11:30:00,Saturday,11:30:00,12:30:00,
Banach spaces webinars,University of North Texas,http://www.math.unt.edu/~bunyamin/banach,math.FA,YES,UTC -05:00,Friday,9:00:00,10:00:00,,,,
Number Theory / Representation Theory Seminar,University of Wisconsin - Madison,https://www.math.wisc.edu/wiki/index.php/NTS,"math.RT, math.NT",YES,UTC -05:00,Thursday,14:30:00,15:30:00,,,,
Virtual seminar on algebraic matroids and rigidity theory,MIT,https://dibernstein.github.io/VirtualSeminar.html,"math.CO, math.AG, math.MG",YES,UTC -04:00,Thursday,10:00:00,11:00:00,,,,
Oxford Discrete Mathematics and Probability Seminar,Oxford University,http://people.maths.ox.ac.uk/scott/dmp.htm,"math.PR, math.CO",YES,UTC +01:00,Tuesday,14:00:00,16:30:00,,,,
Nonlinear Algebra Seminar Online,MPI Leipzig,https://www.mis.mpg.de/nlalg/seminars/naso.html,"math.CO, math.AG",YES,UTC +02:00,Tuesday,17:00:00,19:00:00,Thursday,17:00:00,19:00:00,
UMN Combinatorics Seminar,University of Minnesota,http://www-users.math.umn.edu/~cfraser/seminar_spring20.html,math.CO,YES,UTC -05:00,Friday,15:35:00,16:25:00,,,,
Combinatorics and Geometry Seminar,University of Washington,https://math.washington.edu/events/series/combinatorics-and-geometry-seminar,"math.CO, math.MG",YES,UTC -07:00,Wednesday,16:10:00,17:10:00,,,,
Complex Geometry Seminar,Chalmers,https://sites.google.com/view/cgseminar,"math.CV, math.AG",YES,UTC -05:00,Monday,10:00:00,11:00:00,,,,
TCS+ Theoretical Computer Science Seminar,TCS+,https://sites.google.com/site/plustcs/,,YES,UTC +00:00,Wednesday,13:00:00,14:00:00,,,,
The Applied Algebra Seminar at York,"York University, Ca",http://garsia.math.yorku.ca/seminar/algebra.html,"math.AG, math.CO",YES,UTC -04:00,Monday,15:00:00,16:00:00,,,,
"GAPT (Geometry, Algebra, Mathematical Physics and Topology) Seminar",Cardiff,https://upennig.weebly.com/gapt-seminar.html,"math.GT, math.AT, math.DG, math.CA, math.MP",YES,UTC +01:00,Thursday,15:10:00,16:00:00,,,,
Graduate Online Combinatorics Colloquium,,https://sites.google.com/view/gocc-combinatorics,math.CO,YES,UTC -04:00,Wednesday,13:00:00,14:00:00,,,,
Virtual Combinatorics Colloquium,Northeast Combinatorics Network,https://sites.google.com/view/northeastcombinatoricsnetwork/virtual-combinatorics-colloquium,math.CO,NO,,,,,,,,
UC Berkeley Combinatorics Seminar,UC Berkeley,https://math.berkeley.edu/~corteel/combinatorics/,math.CO,YES,UTC -07:00,Monday,12:10:00,13:00:00,,,,
Women in Combinatorics Seminar,WinCom,https://sites.google.com/view/womenincombinatoricstemporary/colloquium,math.CO,YES ,UTC -04:00,Thursday,15:00:00,16:00:00,,,,
TGGT: Topology,Ohio State University,https://sites.google.com/view/topoandggt/home,"math.GT, math.AT, math.GN",YES,UTC -04:00,Tuesday,15:00:00,16:00:00,,,,
TGGT: Geometric group theory,Ohio State University,https://sites.google.com/view/topoandggt/home,"math.GR, math.MG",YES,UTC -04:00,Thursday,14:00:00,15:00:00,,,,
MIT Topology Seminar,MIT,https://math.mit.edu/topology/index.html,"math.GN, math.AT, math.GT",YES,UTC -04:00,Monday,16:30:00,17:30:00,,,,
HOTTEST: Homotopy Type Theory Electronic Seminar Talks,University of Western Onterio,https://www.uwo.ca/math/faculty/kapulkin/seminars/hottest.html,math.LO,YES,UTC -04:00,Thursday,16:30:00,18:00:00,,,,
Applied Algebraic Topology Research Network Seminar,University of Minnesota,https://topology.ima.umn.edu/seminars,math.AT,YES,UTC -04:00,Wednesday,12:00:00,13:00:00,,,,
Online Algebraic Topology Seminar (OATS),,https://sites.google.com/view/nialltaggartmath/oats,math.AT,YES,UTC +02:00,Monday,16:00:00,17:00:00,,,,
Seminar GEOTOP-A,GEOTOP-A,http://seminargeotop-a.com/#,math.GT,NO,,,,,,,,
K-OS Knot Online Seminar,"Geneva University, CNRS",https://lrobert.perso.math.cnrs.fr/kos.html,math.GT,YES,UTC +02:00,Thursday,14:00:00,15:00:00,,,,
Trends in Low-Dimensional Tolology,,https://sites.google.com/bc.edu/virtualtopology/trends-in-ldt,"math.GN, math.GT",YES,UTC -04:00,Tuesday,12:00:00,13:00:00,,,,
CUNY Probability Seminar,CUNY,https://probability.commons.gc.cuny.edu/,math.PR,YES,UTC -04:00,Tuesday,15:30:00,16:30:00,,,,
Stanford Probability Seminar,Stanford,https://statistics.stanford.edu/events/probability-seminar,math.PR,YES ,UTC -07:00,Monday,16:00:00,17:00:00,,,,
ACT@UCR Applied Category Theory,UC RIverside,https://sites.google.com/ucr.edu/actucr/home?authuser=1,math.CT,YES,UTC -07:00,Wednesday,10:00:00,11:00:00,,,,
